,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales
80,Mario Party 8,3.81,2.3,1.58,0.73
81,Pokemon Black 2/Pokemon White 2,2.91,1.86,3.14,0.43
82,FIFA Soccer 13,1.06,5.05,0.13,2.01
83,The Sims 3,0.98,6.42,0.0,0.71
84,GoldenEye 007,5.8,2.01,0.13,0.15
85,Mario & Sonic at the Olympic Games,2.58,3.9,0.66,0.91
86,Final Fantasy X,2.91,2.07,2.73,0.33
87,Final Fantasy VIII,2.28,1.72,3.63,0.23
88,Pokémon Platinum Version,2.82,1.78,2.69,0.55
89,Pac-Man,7.28,0.45,0.0,0.08
90,Grand Theft Auto: Liberty City Stories,2.9,2.83,0.24,1.75
91,Super Mario Galaxy 2,3.66,2.42,0.98,0.64
92,Star Wars Battlefront (2015),2.93,3.29,0.22,1.23
93,Call of Duty: Advanced Warfare,2.8,3.3,0.14,1.37
94,The Legend of Zelda: Ocarina of Time,4.1,1.89,1.45,0.16
95,Crash Bandicoot 2: Cortex Strikes Back,3.78,2.17,1.31,0.31
96,Super Mario Bros. 2,5.39,1.18,0.7,0.19
97,Super Smash Bros. for Wii U and 3DS,3.24,1.35,2.42,0.43
98,Call of Duty: World at War,4.79,1.9,0.0,0.69
99,Battlefield 3,4.46,2.13,0.06,0.69
100,The Legend of Zelda: Twilight Princess,3.83,2.19,0.6,0.7
101,Call of Duty: Black Ops 3,4.52,2.09,0.01,0.67
102,Just Dance,3.51,3.03,0.0,0.73
103,Battlefield 3,2.85,2.93,0.35,1.1
104,Need for Speed Underground,3.27,2.83,0.08,1.02
105,Tekken 3,3.27,2.22,1.4,0.29
106,Crash Bandicoot 3: Warped,3.68,1.75,1.42,0.28
107,Super Smash Bros. Melee,4.41,1.04,1.39,0.22
108,Mario Kart 8,3.13,2.07,1.27,0.49
109,Fallout 4,2.47,3.15,0.24,1.1
110,Mario Kart: Double Dash!!,4.12,1.77,0.87,0.19
111,Just Dance 4,4.14,2.21,0.0,0.56
112,FIFA 14,0.78,4.32,0.07,1.73
113,Need for Speed Underground 2,2.71,3.02,0.08,1.09
114,Medal of Honor: Frontline,2.93,2.75,0.17,0.99
115,Uncharted 3: Drake's Deception,2.77,2.8,0.19,1.06
116,Crash Bandicoot,3.23,2.35,0.94,0.3
117,Zumba Fitness,3.5,2.64,0.0,0.67
118,Gears of War 2,4.15,1.92,0.06,0.64
119,Uncharted 2: Among Thieves,3.27,2.25,0.21,1.0
120,Call of Duty 4: Modern Warfare,3.1,2.3,0.28,1.04
121,FIFA 12,0.84,4.32,0.11,1.42
122,Big Brain Academy,1.67,2.78,1.6,0.62
123,Red Dead Redemption,2.79,2.61,0.17,1.03
124,FIFA 15,0.79,4.29,0.05,1.47
125,Donkey Kong Country Returns,3.25,1.84,1.03,0.47
126,The Elder Scrolls V: Skyrim,2.55,2.71,0.25,1.05
127,The Legend of Zelda,3.74,0.93,1.69,0.14
128,Assassin's Creed III,2.64,2.56,0.16,1.14
129,Halo: Combat Evolved,4.98,1.3,0.08,0.07
130,Pokémon Emerald Version,2.57,1.58,2.06,0.21
131,Kingdom Hearts,3.64,1.2,1.49,0.07
132,Pokémon Crystal Version,2.55,1.56,1.29,0.99
133,Halo 3: ODST,4.34,1.35,0.06,0.61
134,Red Dead Redemption,3.7,1.97,0.09,0.57
135,Super Mario Sunshine,4.01,1.26,0.87,0.17
136,Street Fighter II: The World Warrior,2.47,0.83,2.87,0.12
137,World of Warcraft,0.07,6.21,0.0,0.0
138,Driver,3.11,2.8,0.02,0.33
139,Kinect Sports,3.92,1.78,0.03,0.51
140,Gears of War 3,4.05,1.62,0.07,0.49
141,Gears of War,3.54,1.9,0.07,0.6
142,Metal Gear Solid 2: Sons of Liberty,2.45,2.01,0.87,0.72
143,Sonic the Hedgehog 2,4.47,1.2,0.16,0.19
144,Metal Gear Solid 4: Guns of the Patriots,2.63,1.74,0.83,0.83
145,Metal Gear Solid,3.18,1.83,0.78,0.24
146,The Last of Us,2.41,2.28,0.28,1.01
147,Final Fantasy XII,1.88,0.0,2.33,1.74
148,LittleBigPlanet,2.8,2.05,0.17,0.9
149,Dragon Quest IX: Sentinels of the Starry Skies,0.66,0.69,4.35,0.15
150,LEGO Star Wars: The Complete Saga,3.66,1.63,0.0,0.53
151,Resident Evil 2,1.88,1.47,2.02,0.45
152,Tekken 2,2.26,1.89,1.36,0.23
153,Cooking Mama,3.13,1.94,0.07,0.58
154,Destiny,2.49,2.05,0.16,0.96
155,Tetris,2.97,0.69,1.81,0.11
156,Assassin's Creed II,2.54,1.95,0.21,0.87
157,Super Smash Bros.,2.95,0.6,1.97,0.04
158,Assassin's Creed,3.28,1.65,0.07,0.55
159,Batman: Arkham City,2.7,1.91,0.11,0.8
160,Forza Motorsport 3,2.99,1.92,0.1,0.51
161,Monster Hunter Freedom Unite,0.47,0.57,4.13,0.34
162,Super Mario Advance,3.14,1.24,0.91,0.2
163,Mario Kart: Super Circuit,2.62,1.64,0.99,0.23
164,Super Mario World,3.21,1.11,0.95,0.2
165,Pokemon Stadium,3.18,1.24,0.94,0.09
166,Call of Duty: World at War,2.72,1.87,0.0,0.84
167,Crash Bandicoot: The Wrath of Cortex,2.07,2.29,0.24,0.82
168,Minecraft,1.97,2.51,0.0,0.94
169,Final Fantasy XIII,1.74,1.24,1.87,0.52
170,Dr. Mario,2.18,0.96,2.0,0.2
171,Pokemon Pinball,3.02,1.12,1.01,0.16
172,Assassin's Creed III,3.13,1.71,0.03,0.44
173,Final Fantasy IX,1.62,0.77,2.78,0.14
174,Final Fantasy X-2,1.92,1.08,2.11,0.17
175,Donkey Kong 64,3.33,0.79,1.09,0.06
176,Assassin's Creed II,3.1,1.56,0.08,0.51
177,Professor Layton and the Curious Village,1.22,2.48,1.03,0.52
178,Tomb Raider II,2.3,2.46,0.2,0.28
179,Madden NFL 2004,4.26,0.26,0.01,0.71
180,Dragon Quest VIII: Journey of the Cursed King,0.65,0.75,3.61,0.2
181,Diablo III,2.43,2.15,0.0,0.62
182,Super Mario Bros. 3,2.93,1.25,0.83,0.2
183,New Super Mario Bros. U,2.32,1.3,1.27,0.31
184,Super Mario Land 3: Wario Land,2.49,0.98,1.57,0.15
185,FIFA Soccer 13,1.08,3.48,0.03,0.58
186,The Legend of Zelda: Phantom Hourglass,1.9,1.83,0.95,0.49
187,Donkey Kong Country 2: Diddy's Kong Quest,2.1,0.74,2.2,0.11
188,Tomodachi Life,0.96,2.02,1.89,0.28
189,Mario & Sonic at the Olympic Games,1.64,2.48,0.44,0.58
190,Medal of Honor: Rising Sun,1.98,2.23,0.13,0.8
191,Kirby's Dream Land,2.71,0.61,1.7,0.11
192,Fable III,3.59,1.11,0.05,0.38
193,Call of Duty: Advanced Warfare,3.21,1.53,0.01,0.38
194,Microsoft Flight Simulator,3.22,1.69,0.0,0.2
195,Guitar Hero II,3.81,0.63,0.0,0.68
196,Resident Evil 5,1.96,1.43,1.08,0.65
197,Grand Theft Auto V,2.66,2.01,0.0,0.41
198,Grand Theft Auto: Vice City Stories,1.7,2.02,0.16,1.21
199,FIFA Soccer 11,0.6,3.29,0.06,1.13
200,Super Mario Bros.,3.4,1.3,0.15,0.22
201,Resident Evil,2.05,1.16,1.11,0.73
202,Tony Hawk's Pro Skater,3.42,1.38,0.02,0.2
203,Super Smash Bros. for Wii U and 3DS,2.59,1.06,0.8,0.57
204,Warzone 2100,2.79,1.89,0.0,0.33
205,Spyro the Dragon,3.36,1.36,0.07,0.21
206,Link's Crossbow Training,3.06,1.18,0.29,0.46
207,Guitar Hero III: Legends of Rock,3.49,0.01,0.01,1.48
208,Fallout 3,3.39,1.03,0.09,0.44
209,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,1.85,1.2,1.54,0.37
210,Uncharted: Drake's Fortune,2.31,1.73,0.12,0.78
211,Madden NFL 06,3.98,0.26,0.01,0.66
212,LEGO Star Wars: The Complete Saga,2.89,1.54,0.0,0.46
213,Diddy Kong Racing,2.91,0.99,0.89,0.1
214,Monster Hunter Freedom 3,0.0,0.0,4.87,0.0
215,Dr. Mario,2.62,0.6,1.52,0.1
216,God of War III,2.74,1.36,0.12,0.63
217,StarCraft II: Wings of Liberty,2.56,1.68,0.0,0.59
218,Assassin's Creed,1.91,2.0,0.09,0.83
219,FIFA 15,0.57,3.14,0.04,1.07
220,Crash Team Racing,2.57,1.57,0.44,0.21
221,FIFA 17,0.28,3.75,0.06,0.69
222,Batman: Arkham City,2.99,1.31,0.04,0.41
223,Driver 2,2.36,2.1,0.02,0.25
224,The Simpsons: Hit & Run,1.73,2.19,0.0,0.79
225,Tony Hawk's Pro Skater 2,3.05,1.41,0.02,0.2
226,Animal Crossing: City Folk,1.87,1.12,1.32,0.37
227,The Lord of the Rings: The Two Towers,1.94,1.95,0.08,0.7
228,Forza Motorsport 4,2.08,2.04,0.06,0.47
229,Tomb Raider,2.29,1.97,0.13,0.24
230,Guitar Hero III: Legends of Rock,3.06,1.12,0.0,0.44
231,The Legend of Zelda: A Link to the Past,2.42,0.91,1.15,0.13
232,The Legend of Zelda: The Wind Waker,2.6,0.99,0.89,0.13
233,Mario & Sonic at the Olympic Winter Games,1.89,1.99,0.22,0.48
234,Luigi's Mansion: Dark Moon,1.78,1.39,1.1,0.3
235,Splatoon,1.55,1.15,1.44,0.43
236,The Last of Us,1.78,1.87,0.07,0.82
237,Guitar Hero III: Legends of Rock,3.19,0.92,0.01,0.42
238,Madden NFL 2005,4.18,0.26,0.01,0.08
239,Pitfall!,4.21,0.24,0.0,0.05
240,Madden NFL 07,3.63,0.24,0.01,0.61
241,Spider-Man: The Movie,2.71,1.51,0.03,0.23
242,Dragon Quest VII: Warriors of Eden,0.2,0.14,4.1,0.02
243,Uncharted: The Nathan Drake Collection,1.96,1.69,0.08,0.74
244,Call of Duty: Advanced Warfare,1.54,1.94,0.19,0.77
245,God of War,2.71,1.29,0.02,0.43
246,Nintendo Land,2.55,1.11,0.46,0.33
247,Michael Jackson: The Experience,2.67,1.35,0.01,0.39
248,Tony Hawk's Pro Skater 3,2.66,1.29,0.01,0.46
249,Winning Eleven: Pro Evolution Soccer 2007,0.1,2.39,1.05,0.86
250,The Elder Scrolls IV: Oblivion,2.82,1.05,0.13,0.4
251,Zelda II: The Adventure of Link,2.19,0.5,1.61,0.08
252,Need for Speed: Most Wanted,2.03,1.79,0.08,0.47
253,Resistance: Fall of Man,1.73,1.73,0.14,0.75
254,Sonic the Hedgehog,3.03,0.91,0.26,0.13
255,Kingdom Hearts II,2.2,0.58,1.38,0.17
256,FIFA 14,0.92,2.93,0.01,0.46
257,Call of Duty: Advanced Warfare,2.75,1.18,0.0,0.37
258,Asteroids,4.0,0.26,0.0,0.05
259,Fable II,2.51,1.27,0.11,0.41
260,Halo 5: Guardians,2.64,1.2,0.03,0.39
261,Super Mario 3D World,2.11,1.11,0.72,0.3
262,Batman: Arkham Asylum,2.23,1.34,0.07,0.61
263,Assassin's Creed: Revelations,1.41,2.02,0.1,0.72
264,Namco Museum,3.0,1.11,0.05,0.07
265,Metal Gear Solid 3: Snake Eater,1.46,0.0,0.83,1.93
266,Daxter,2.45,1.02,0.0,0.75
267,Warcraft II: Tides of Darkness,1.7,2.27,0.0,0.23
268,The Legend of Zelda: Ocarina of Time,2.03,1.27,0.62,0.3
269,FIFA Soccer 06,0.78,2.55,0.04,0.84
270,EyeToy Play,0.88,2.3,0.2,0.83
271,Uncharted 4: A Thief's End,1.3,2.07,0.18,0.65
272,Gran Turismo 5 Prologue,1.28,1.83,0.57,0.53
273,Assassin's Creed: Revelations,2.25,1.47,0.04,0.43
274,Street Fighter IV,2.02,1.06,0.58,0.53
275,FIFA 12,0.84,2.79,0.02,0.53
276,Teenage Mutant Ninja Turtles,3.38,0.44,0.31,0.04
277,Excitebike,2.04,0.48,1.57,0.07
278,Frogger,3.79,0.27,0.0,0.11
279,Madden NFL 2003,3.36,0.21,0.01,0.56
280,Watch Dogs,1.4,1.86,0.11,0.77
281,Half-Life,4.03,0.0,0.09,0.0
282,Super Mario World 2: Yoshi's Island,1.65,0.61,1.76,0.09
283,FIFA Soccer 07,0.71,2.48,0.03,0.89
284,The Legend of Zelda: Skyward Sword,2.14,1.2,0.37,0.4
285,Street Fighter II Turbo,1.42,0.51,2.1,0.07
286,Carnival Games,2.13,1.5,0.05,0.42
287,Fallout 4,2.45,1.26,0.01,0.37
288,World of Warcraft: The Burning Crusade,2.57,1.52,0.0,0.0
289,Fallout: New Vegas,2.65,1.06,0.04,0.33
290,God of War II,2.32,0.04,0.04,1.67
291,Forza Motorsport 2,2.35,1.28,0.03,0.41
292,World Soccer Winning Eleven 9,0.12,2.26,0.9,0.77
293,Namco Museum Vol.3,2.28,1.55,0.16,0.06
294,Tekken Tag Tournament,1.68,1.51,0.51,0.35
295,Far Cry 4,1.12,2.12,0.1,0.69
296,Star Fox 64,2.78,0.58,0.64,0.04
297,Minecraft,1.38,1.87,0.12,0.65
298,Golf,1.22,0.28,2.46,0.04
299,Fallout 3,2.15,1.2,0.07,0.59
300,Professor Layton and the Diabolical Box,0.92,1.78,0.92,0.37
301,Left 4 Dead 2,2.67,0.89,0.05,0.37
302,Namco Museum: 50th Anniversary,2.08,1.35,0.0,0.54
303,EA Sports Active,2.1,1.36,0.06,0.4
304,Assassin's Creed: Unity,1.18,1.96,0.08,0.7
305,Donkey Kong Land,1.97,0.76,1.07,0.11
306,Tony Hawk's Underground,2.29,1.17,0.01,0.42
307,Assassin's Creed IV: Black Flag,1.33,1.71,0.13,0.73
308,Monster Hunter 4 Ultimate,0.67,0.49,2.62,0.11
309,MotorStorm,1.53,1.61,0.06,0.67
310,The Elder Scrolls V: Skyrim,1.15,2.09,0.0,0.64
311,Tekken 5,0.93,1.94,0.31,0.7
312,Dragon Warrior III,0.1,0.0,3.77,0.0
313,Sports Champions,2.12,1.14,0.1,0.51
314,NBA 2K16,2.48,0.65,0.03,0.69
315,World Soccer Winning Eleven 8 International,0.16,1.89,1.12,0.68
316,Flash Focus: Vision Training in Minutes a Day,0.87,1.57,1.05,0.35
317,Namco Museum Vol.1,2.12,1.44,0.22,0.06
318,The Legend of Zelda: Link's Awakening,2.21,0.96,0.54,0.13
319,Mario & Luigi: Bowser's Inside Story,2.26,0.48,0.81,0.27
320,Big Brain Academy: Wii Degree,1.06,1.93,0.41,0.43
321,Nintendogs + cats,1.44,1.37,0.73,0.27
322,Batman: Arkham Knight,1.49,1.58,0.1,0.61
323,Mario & Sonic at the London 2012 Olympic Games,1.14,1.91,0.27,0.46
324,LEGO Indiana Jones: The Original Adventures,2.4,1.03,0.0,0.36
325,Resident Evil Director's Cut,1.82,1.24,0.47,0.25
326,Ratchet & Clank: Size Matters,1.4,1.4,0.1,0.87
327,Just Dance 2014,1.98,1.47,0.0,0.32
328,The Sims: Unleashed,2.03,1.56,0.0,0.17
329,Super Paper Mario,1.98,0.88,0.59,0.32
330,Harry Potter and the Sorcerer's Stone,1.37,2.0,0.14,0.22
331,The Witcher 3: Wild Hunt,0.96,2.0,0.21,0.56
332,Resident Evil 3: Nemesis,1.3,0.77,1.54,0.11
333,Spyro: Year of the Dragon,1.93,1.58,0.0,0.19
334,FIFA Soccer 2005,0.58,2.48,0.04,0.59
335,Pokémon Trading Card Game,1.49,0.73,1.38,0.1
336,Battlefield 4,1.3,1.51,0.27,0.61
337,MySims,1.59,1.61,0.08,0.41
338,Friend Collection,0.0,0.0,3.67,0.0
339,Tony Hawk's Pro Skater 4,2.13,1.18,0.01,0.35
340,Midnight Club 3: DUB Edition,1.65,1.22,0.0,0.79
341,Banjo-Kazooie,1.87,1.13,0.55,0.1
342,SOCOM: U.S. Navy SEALs,2.53,0.81,0.06,0.24
343,Guitar Hero: World Tour,2.33,0.97,0.0,0.35
344,Gran Turismo 6,0.71,1.8,0.4,0.74
345,Jak and Daxter: The Precursor Legacy,2.08,1.09,0.15,0.33
346,Pokemon Snap,2.23,0.68,0.66,0.06
347,FIFA Soccer 10,0.6,2.46,0.05,0.52
348,Pro Evolution Soccer 2008,0.05,0.0,0.64,2.93
349,Call of Duty: Ghosts,1.78,1.42,0.05,0.38
350,Resident Evil 4,2.08,0.83,0.46,0.25
351,Tom Clancy's The Division,1.28,1.61,0.15,0.57
352,Star Wars: Battlefront,1.93,1.22,0.03,0.44
353,Doom II: Hell on Earth,2.05,1.4,0.0,0.16
354,The Simpsons: Road Rage,2.02,1.17,0.0,0.42
355,Cooking Mama 2: Dinner With Friends,1.61,1.5,0.1,0.39
356,Luigi's Mansion,2.38,0.67,0.46,0.1
357,Star Wars: Battlefront II,2.18,1.02,0.03,0.37
358,WWF SmackDown!,2.01,1.35,0.06,0.16
359,Croc: Legend of the Gobbos,1.57,1.79,0.0,0.2
360,Grand Theft Auto: Liberty City Stories,1.56,1.4,0.07,0.5
361,The Getaway,1.23,1.77,0.05,0.49
362,Tomb Raider III: Adventures of Lara Croft,1.66,1.58,0.12,0.18
363,James Bond 007: Agent Under Fire,1.9,1.13,0.1,0.41
364,LEGO Star Wars: The Video Game,1.98,1.14,0.01,0.41
365,Battlefield 4,2.14,1.08,0.02,0.29
366,FIFA Soccer 11,0.71,2.4,0.02,0.4
367,Rugrats in Paris: The Movie,1.96,1.33,0.0,0.23
368,Spyro 2: Ripto's Rage!,2.14,1.21,0.01,0.17
369,Left 4 Dead,2.66,0.5,0.05,0.3
370,Mario & Sonic at the Olympic Winter Games,1.22,1.66,0.27,0.38
371,Resident Evil 5,2.11,0.94,0.12,0.34
372,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1.17,0.5,1.75,0.08
373,Assassin's Creed: Brotherhood,2.84,0.39,0.03,0.24
374,Kung Fu,1.64,0.38,1.42,0.06
375,Batman: Arkham Asylum,2.2,0.97,0.02,0.31
376,Clubhouse Games,0.59,1.83,0.73,0.35
377,FIFA Soccer 2004,0.59,2.36,0.04,0.51
378,Star Wars Battlefront (2015),1.94,1.22,0.02,0.31
379,Battlefield: Bad Company 2,2.09,1.02,0.04,0.32
380,Guitar Hero: On Tour,2.11,1.01,0.01,0.35
381,Assassin's Creed: Unity,2.26,0.89,0.0,0.3
382,Far Cry 3,0.88,1.75,0.1,0.72
383,Monster Hunter 4,0.0,0.0,3.44,0.0
384,Borderlands,2.39,0.73,0.03,0.29
385,Tekken 4,1.55,1.27,0.33,0.29
386,Battlefield 4,1.34,1.54,0.17,0.38
387,LittleBigPlanet 2,1.82,1.07,0.06,0.47
388,Grand Theft Auto 2,1.13,2.07,0.0,0.22
389,Final Fantasy III,0.86,0.0,2.55,0.02
390,Spider-Man 2,1.75,1.2,0.02,0.43
391,F-1 Race,1.73,0.69,0.59,0.4
392,FIFA Soccer 2003,0.46,2.28,0.05,0.61
393,Crash Bash,1.56,1.47,0.19,0.17
394,LEGO Batman: The Videogame,2.03,1.03,0.0,0.32
395,Metal Gear Solid V: The Phantom Pain,1.08,1.35,0.48,0.47
396,The Legend of Zelda: Spirit Tracks,1.43,0.94,0.74,0.27
397,WWF War Zone,2.47,0.76,0.0,0.13
398,The Legend of Zelda: Majora's Mask,1.9,0.67,0.73,0.06
399,Professor Layton and the Unwound Future,0.65,1.61,0.82,0.28
400,Rugrats: Search For Reptar,1.63,1.53,0.0,0.18
401,Assassin's Creed IV: Black Flag,1.9,1.14,0.01,0.29
402,English Training: Have Fun Improving Your Skills!,0.0,0.99,2.32,0.02
403,James Bond 007: Nightfire,1.45,1.29,0.12,0.46
404,Ratchet & Clank,1.44,1.01,0.57,0.3
405,Mario Party 9,1.15,1.17,0.76,0.24
406,Star Wars Episode III: Revenge of the Sith,1.47,1.39,0.03,0.43
407,Max Payne,1.99,1.05,0.05,0.22
408,The Lord of the Rings: The Return of the King,1.5,1.28,0.05,0.46
409,Assassin's Creed Syndicate,0.8,1.92,0.06,0.5
410,Destiny,2.13,0.92,0.0,0.23
411,True Crime: Streets of LA,1.89,1.05,0.02,0.31
412,Wii Music,1.36,1.13,0.46,0.32
413,Gran Turismo (PSP),0.5,1.59,0.31,0.87
414,Monster Hunter X,0.25,0.19,2.78,0.04
415,Tekken,0.95,1.3,0.77,0.22
416,FIFA 16,0.88,2.11,0.0,0.23
417,L.A. Noire,1.27,1.33,0.12,0.51
418,Madden NFL 16,2.33,0.3,0.0,0.59
419,Yokai Watch 2 Ganso/Honke,0.03,0.0,3.18,0.0
420,007: Tomorrow Never Dies,1.72,1.33,0.0,0.16
421,Baseball,0.73,0.1,2.35,0.02
422,Killer Instinct,2.26,0.72,0.12,0.1
423,WWF SmackDown! 2: Know Your Role,1.76,1.21,0.07,0.16
424,Crisis Core: Final Fantasy VII,1.35,0.6,0.8,0.44
425,God of War: Chains of Olympus,1.48,1.01,0.04,0.66
426,Dragon Quest VI: Maboroshi no Daichi,0.0,0.0,3.19,0.0
427,Dance Central,2.15,0.77,0.01,0.26
428,Enter the Matrix,1.78,1.12,0.09,0.19
429,Super Mario Maker,1.18,0.87,0.93,0.2
430,Fallout: New Vegas,1.52,1.08,0.1,0.47
431,LEGO Batman: The Videogame,1.86,1.02,0.0,0.29
432,Rhythm Heaven,0.58,0.51,1.93,0.14
433,Ace Combat 04: Shattered Skies,2.06,0.56,0.38,0.17
434,Club Penguin: Elite Penguin Force,1.88,0.98,0.0,0.3
435,Animal Crossing,1.92,0.16,0.99,0.09
436,LEGO Batman: The Videogame,1.79,1.06,0.0,0.29
437,Sonic Rush,1.22,1.57,0.06,0.29
438,Resident Evil 6,0.88,0.97,0.88,0.42
439,Halo: The Master Chief Collection,1.89,0.99,0.03,0.24
440,FIFA Soccer 08,0.68,0.0,0.0,2.46
441,Spider-Man,1.7,1.25,0.02,0.16
442,Need for Speed III: Hot Pursuit,2.14,0.86,0.0,0.13
443,Star Wars Episode I Racer,2.31,0.62,0.14,0.04
444,Personal Trainer: Cooking,0.91,1.0,1.03,0.17
445,The Elder Scrolls IV: Oblivion,1.69,0.87,0.14,0.42
446,Dragon Warrior IV,0.08,0.0,3.03,0.01
447,Heavy Rain,1.29,1.27,0.06,0.5
448,Mass Effect 2,1.99,0.82,0.03,0.27
449,FIFA 15,0.78,2.02,0.0,0.3
450,Dragon Ball Z: Budokai,2.17,0.28,0.55,0.08
451,Madden NFL 2002,2.5,0.16,0.01,0.42
452,World Class Track Meet,1.92,0.45,0.64,0.07
453,Borderlands 2,1.89,0.91,0.04,0.24
454,The Legend of Zelda: A Link Between Worlds,1.4,0.99,0.46,0.22
455,Donkey Kong,1.57,0.62,0.55,0.34
456,The Sims: Vacation,1.72,1.21,0.0,0.14
457,Mass Effect 3,1.94,0.86,0.03,0.24
458,Kung Fu Panda,1.91,0.84,0.0,0.29
459,Far Cry 3,1.38,1.35,0.02,0.28
460,Epic Mickey,2.06,0.64,0.12,0.22
461,Saints Row 2,1.94,0.8,0.02,0.27
