,Name,NA_Sales,EU_Sales,JP_Sales,Other_Sales
8464,Mobile Suit Gundam: Extreme VS Force,0.0,0.0,0.16,0.0
8465,Sid Meier's Pirates!,0.13,0.02,0.0,0.01
8466,MLB 16: The Show,0.13,0.0,0.0,0.03
8467,Phantasy Star Online 2,0.0,0.0,0.16,0.0
8468,Vehicular Combat League presents Motor Mayhem,0.08,0.06,0.0,0.02
8469,PoPoLoCrois: Hajimari no Bouken,0.0,0.0,0.16,0.0
8470,Star Wars: Super Bombad Racing,0.08,0.06,0.0,0.02
8471,Hamster Heroes,0.16,0.0,0.0,0.0
8472,Hot Wheels Velocity X,0.12,0.04,0.0,0.0
8473,Ar Nosurge: Ode to an Unborn Star,0.05,0.04,0.06,0.02
8474,Chaotic: Shadow Warriors,0.15,0.0,0.0,0.01
8475,Leisure Suit Larry: Box Office Bust,0.14,0.01,0.0,0.01
8476,Alien Resurrection,0.09,0.06,0.0,0.01
8477,World Tour Soccer 2005,0.08,0.06,0.0,0.02
8478,Dungeon Siege: Throne of Agony,0.13,0.02,0.0,0.02
8479,Spider-Man: Web of Shadows - Amazing Allies Edition,0.12,0.02,0.0,0.02
8480,F1 2011,0.07,0.08,0.0,0.02
8481,Rio,0.12,0.03,0.0,0.01
8482,Gunslingers,0.08,0.06,0.0,0.02
8483,Create,0.11,0.03,0.0,0.02
8484,Lufia: Curse of the Sinistrals,0.12,0.0,0.03,0.01
8485,El Shaddai: Ascension of the Metatron,0.07,0.05,0.03,0.01
8486,ESPN College Hoops,0.08,0.06,0.0,0.02
8487,Thor: God of Thunder,0.11,0.04,0.0,0.01
8488,F1 Championship Season 2000,0.06,0.05,0.03,0.02
8489,Guilty Gear Judgment,0.13,0.0,0.02,0.01
8490,Pen 1 Grand Prix: Penguin no Mondai Special,0.0,0.0,0.16,0.0
8491,Clash of the Titans,0.08,0.06,0.0,0.02
8492,Around the World in 80 Days,0.0,0.14,0.0,0.02
8493,Robotech: Battlecry,0.13,0.03,0.0,0.0
8494,True Swing Golf,0.11,0.0,0.04,0.01
8495,Zapper: One Wicked Cricket!,0.08,0.06,0.0,0.02
8496,Bomberman Land,0.0,0.0,0.15,0.01
8497,Paws & Claws: Pet Resort,0.12,0.04,0.0,0.0
8498,Kya: Dark Lineage,0.08,0.06,0.0,0.02
8499,Dynasty Warriors 8: Xtreme Legends,0.02,0.03,0.11,0.01
8500,Curious George,0.12,0.04,0.0,0.0
8501,Monster Jam,0.15,0.0,0.0,0.01
8502,Medieval Games,0.14,0.01,0.0,0.01
8503,Stronghold 3,0.06,0.1,0.0,0.0
8504,The Amazing Spider-Man (Console Version),0.11,0.04,0.0,0.01
8505,Kid Adventures: Sky Captain,0.11,0.04,0.0,0.01
8506,Lethal Skies II,0.08,0.06,0.0,0.02
8507,Doctor Lautrec and the Forgotten Knights,0.07,0.05,0.03,0.01
8508,Disney's American Dragon Jake Long: Attack of the Dark Dragon,0.15,0.0,0.0,0.01
8509,Godzilla Unleashed,0.15,0.0,0.0,0.01
8510,Kamaitachi no Yoru × 3,0.0,0.0,0.16,0.0
8511,Tom and Jerry: Infurnal Escape,0.12,0.04,0.0,0.0
8512,The Legend of Heroes VII: The Trail of Zero,0.0,0.0,0.16,0.0
8513,Warriors Orochi 3,0.09,0.03,0.03,0.01
8514,King's Field,0.09,0.06,0.0,0.01
8515,Hannah Montana: Rock Out the Show,0.13,0.01,0.0,0.02
8516,Let's Ride: Sunshine Stables,0.12,0.04,0.0,0.0
8517,World Stadium 4,0.0,0.0,0.15,0.01
8518,Midway Arcade Treasures 2,0.13,0.03,0.0,0.0
8519,Hot Wheels World Race,0.13,0.03,0.0,0.0
8520,San Goku Shi Taisen DS,0.0,0.0,0.16,0.0
8521,Kawa no Nushi Tsuri,0.0,0.0,0.15,0.01
8522,N2O: Nitrous Oxide,0.09,0.06,0.0,0.01
8523,Magic: The Gathering - Battlegrounds,0.12,0.03,0.0,0.01
8524,Heroes over Europe,0.12,0.02,0.0,0.02
8525,Dancing With The Stars,0.08,0.06,0.0,0.02
8526,Major League Baseball 2K12,0.15,0.0,0.0,0.01
8527,Pro Evolution Soccer 2015,0.05,0.1,0.0,0.01
8528,Bladestorm: Nightmare,0.07,0.04,0.03,0.02
8529,Otogirisou,0.0,0.0,0.16,0.0
8530,SD Gundam G Generation 3D,0.0,0.0,0.16,0.0
8531,Crash Tag Team Racing,0.12,0.03,0.0,0.0
8532,Grease Dance,0.11,0.03,0.0,0.01
8533,Ready 2 Rumble Revolution,0.15,0.0,0.0,0.01
8534,My Baby 3 & Friends,0.13,0.02,0.0,0.01
8535,NASCAR '14,0.15,0.0,0.0,0.01
8536,TimeSplitters: Future Perfect,0.12,0.03,0.0,0.01
8537,Midway Arcade Treasures 3,0.08,0.06,0.0,0.02
8538,Dr. Muto,0.08,0.06,0.0,0.02
8539,Beowulf: The Game,0.14,0.01,0.0,0.01
8540,Puzzle Quest: Galactrix,0.15,0.0,0.0,0.01
8541,DS Rakubiki Jiten,0.0,0.0,0.16,0.0
8542,SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,0.08,0.06,0.0,0.02
8543,Fatal Frame II: Crimson Butterfly,0.08,0.06,0.0,0.02
8544,Angry Birds Trilogy,0.12,0.02,0.0,0.02
8545,Dewy's Adventure,0.14,0.0,0.01,0.01
8546,Shadow Man: 2econd Coming,0.08,0.06,0.0,0.02
8547,Yu-Gi-Oh! 5D's Tag Force 6,0.0,0.0,0.16,0.0
8548,NPPL: Championship Paintball 2009,0.15,0.0,0.0,0.01
8549,Dynasty Warriors 4,0.12,0.03,0.0,0.01
8550,Wakeboarding Unleashed Featuring Shaun Murray,0.08,0.06,0.0,0.02
8551,The Incredibles: Rise of the Underminer,0.12,0.03,0.0,0.0
8552,Jikkyou Powerful Pro Yakyuu 3 '97 Haru,0.0,0.0,0.16,0.0
8553,Alone in the Dark: The New Nightmare,0.09,0.06,0.0,0.01
8554,The BIGS,0.15,0.0,0.0,0.01
8555,Flushed Away,0.12,0.03,0.0,0.0
8556,Eragon,0.13,0.02,0.0,0.01
8557,Scarface: Money. Power. Respect.,0.15,0.0,0.0,0.01
8558,Summon Night EX-Thesis: Yoake no Tsubasa,0.0,0.0,0.16,0.0
8559,Pro Yaky? Spirits 3,0.0,0.0,0.16,0.0
8560,Silent Scope 3,0.08,0.06,0.0,0.02
8561,World Series of Poker: Tournament of Champions 2007 Edition,0.15,0.0,0.0,0.01
8562,NASCAR Heat 2002,0.12,0.04,0.0,0.0
8563,Namco Classic Fighter Collection,0.08,0.06,0.0,0.02
8564,International Superstar Soccer Deluxe,0.0,0.0,0.16,0.0
8565,TNA iMPACT!,0.14,0.01,0.0,0.01
8566,Intellivision Lives!,0.08,0.06,0.0,0.02
8567,Field Commander,0.14,0.0,0.0,0.01
8568,Robots,0.12,0.03,0.0,0.0
8569,Little League World Series Baseball 2009,0.15,0.0,0.0,0.01
8570,The King of Fighters XII,0.11,0.01,0.03,0.01
8571,Doctor Who: Evacuation Earth,0.0,0.14,0.0,0.02
8572,Murdered: Soul Suspect,0.08,0.07,0.0,0.01
8573,Ener-G: Dance Squad,0.15,0.0,0.0,0.01
8574,Our House,0.15,0.0,0.0,0.01
8575,SimEarth: The Living Planet,0.0,0.0,0.16,0.0
8576,Major League Baseball 2K11,0.15,0.0,0.0,0.01
8577,Sengoku Basara: Chronicle Heroes,0.0,0.0,0.16,0.0
8578,NBA 2K12,0.09,0.05,0.0,0.02
8579,The Wild Thornberrys: Chimp Chase,0.11,0.04,0.0,0.0
8580,Power Stakes,0.0,0.0,0.15,0.01
8581,Fighters Destiny,0.13,0.03,0.0,0.0
8582,Asteroids Hyper 64,0.13,0.03,0.0,0.0
8583,The Powerpuff Girls: Chemical X-Traction,0.13,0.03,0.0,0.0
8584,Jikkyou Powerful Pro Yakyuu Basic-han 2001,0.0,0.0,0.12,0.04
8585,Tom and Jerry in Fists of Furry,0.13,0.03,0.0,0.0
8586,Hydro Thunder,0.13,0.03,0.0,0.0
8587,Space Invaders,0.13,0.03,0.0,0.0
8588,Starcraft 64,0.13,0.03,0.0,0.0
8589,Destruction Derby 64,0.13,0.03,0.0,0.0
8590,Buck Bumble,0.13,0.03,0.0,0.0
8591,California Speed,0.13,0.03,0.0,0.0
8592,Wonder Project J2: Koruro no Mori no Josette,0.0,0.0,0.12,0.04
8593,Culdcept SAGA,0.12,0.0,0.03,0.01
8594,Take A Break's: Puzzle Master,0.0,0.15,0.0,0.01
8595,Dragon Ball: Origins 2,0.05,0.02,0.08,0.01
8596,Minna no DS Seminar: Kanpeki Kanji Ryoku,0.0,0.0,0.16,0.0
8597,Innocent Life: A Futuristic Harvest Moon,0.08,0.03,0.03,0.02
8598,The Crew,0.0,0.15,0.0,0.01
8599,Macross Ace Frontier,0.0,0.0,0.16,0.0
8600,Black & Bruised,0.08,0.06,0.0,0.02
8601,Sherlock Holmes vs. Jack the Ripper,0.11,0.04,0.0,0.01
8602,.hack//G.U. Vol.2//Reminisce (jp sales),0.0,0.0,0.16,0.0
8603,Rapala Pro Fishing,0.12,0.03,0.0,0.01
8604,TimeShift,0.14,0.01,0.0,0.01
8605,Blitz: The League,0.15,0.0,0.0,0.01
8606,Scripps Spelling Bee,0.15,0.0,0.0,0.01
8607,MotionSports: Adrenaline,0.08,0.06,0.0,0.03
8608,Ener-G Horse Riders,0.14,0.01,0.0,0.01
8609,Time Hollow,0.03,0.01,0.11,0.0
8610,Farming Simulator 2013,0.0,0.1,0.02,0.04
8611,Rudolph the Red-Nosed Reindeer,0.15,0.0,0.0,0.01
8612,Shinobido 2: Tales of the Ninja,0.06,0.05,0.02,0.03
8613,SpongeBob's Truth or Square,0.08,0.07,0.0,0.01
8614,Ghost in the Shell: Stand Alone Complex,0.08,0.06,0.0,0.02
8615,Rondo of Swords (US sales),0.16,0.0,0.0,0.0
8616,Bulletstorm,0.07,0.07,0.0,0.02
8617,Battle Soccer: Field no Hasha,0.0,0.0,0.16,0.0
8618,Shaun White Skateboarding,0.1,0.05,0.0,0.01
8619,MLB 11: The Show,0.15,0.0,0.0,0.01
8620,Vegas Party,0.15,0.0,0.0,0.01
8621,Amped 3,0.13,0.02,0.0,0.01
8622,Family Party: 30 Great Games Outdoor Fun,0.14,0.01,0.0,0.01
8623,FlatOut 2,0.08,0.06,0.0,0.02
8624,Naruto: Ultimate Ninja Heroes 2 - The Phantom Fortress,0.14,0.0,0.0,0.01
8625,FIFA Soccer 96,0.09,0.06,0.0,0.01
8626,Burger Island,0.15,0.0,0.0,0.01
8627,Dynasty Warriors 8,0.09,0.05,0.0,0.01
8628,NCAA Final Four 2001,0.09,0.06,0.0,0.01
8629,Tak and the Guardians of Gross,0.15,0.0,0.0,0.01
8630,Just Dance: Disney Party,0.13,0.02,0.0,0.01
8631,LEGO The Lord of the Rings,0.0,0.14,0.0,0.02
8632,Dengeki Bunko Fighting Climax,0.05,0.0,0.09,0.01
8633,J-League Jikkyou Winning Eleven 2000,0.0,0.0,0.15,0.01
8634,Eve: The Lost One,0.0,0.0,0.16,0.0
8635,Chessmaster: The Art of Learning,0.12,0.03,0.0,0.01
8636,Yu-Gi-Oh! 5D's: Duel Transer,0.11,0.02,0.02,0.01
8637,LEGO Legends of Chima: Laval's Journey,0.02,0.09,0.0,0.04
8638,Konami Krazy Racers,0.09,0.03,0.04,0.0
8639,Saturday Night Slam Masters,0.0,0.0,0.16,0.0
8640,Blitz: The League II,0.11,0.03,0.0,0.02
8641,F-Zero: GP Legend,0.11,0.04,0.0,0.0
8642,Racing Lagoon,0.0,0.0,0.15,0.01
8643,Victorious: Hollywood Arts Debut,0.14,0.01,0.0,0.01
8644,Mr. Driller 2,0.0,0.0,0.15,0.0
8645,Just Sing!,0.14,0.01,0.0,0.01
8646,Darksiders II,0.07,0.07,0.0,0.01
8647,Dragon's Lair Trilogy,0.15,0.0,0.0,0.01
8648,Trivial Pursuit: Bet You Know It,0.1,0.04,0.0,0.01
8649,Imagine: Ice Champions,0.15,0.0,0.0,0.01
8650,J-League Pro Soccer Club o Tsukurou! 6: Pride of J,0.0,0.0,0.16,0.0
8651,Nicktoons: MLB,0.15,0.0,0.0,0.01
8652,Sniper: Ghost Warrior,0.0,0.13,0.0,0.03
8653,Left Brain Right Brain: Use Both Hands Train Both Sides,0.15,0.0,0.0,0.01
8654,Rio,0.04,0.09,0.0,0.03
8655,Power Rangers Double Pack,0.11,0.04,0.0,0.0
8656,Mugen Souls,0.04,0.03,0.08,0.01
8657,Yakuza Kiwami,0.0,0.0,0.16,0.0
8658,Pachi-Slot Kanzen Kouryaku 3: Universal Koushiki Gaido Volume 3,0.0,0.0,0.15,0.01
8659,"BCFX: The Black College Football Xperience, The Doug Williams Edition",0.15,0.0,0.0,0.01
8660,FIFA Soccer 97,0.09,0.06,0.0,0.01
8661,Saw II: Flesh & Blood,0.1,0.04,0.0,0.01
8662,Psychic Force,0.01,0.01,0.13,0.01
8663,Trigger Man,0.08,0.06,0.0,0.02
8664,Bomberman Land Touch! 2,0.13,0.0,0.01,0.01
8665,Michael Jackson: The Experience,0.11,0.03,0.0,0.02
8666,The Godfather: Blackhand Edition,0.14,0.0,0.0,0.01
8667,StarBlade α,0.0,0.0,0.15,0.01
8668,Kidou Senshi Gundam: Giren no Yabou - Axis no Kyoui,0.0,0.0,0.16,0.0
8669,Tiger Woods PGA Tour 2004,0.12,0.03,0.0,0.0
8670,Monster House,0.14,0.01,0.0,0.01
8671,Angry Birds Star Wars,0.11,0.04,0.0,0.01
8672,Backyard Sports: Sandlot Sluggers,0.15,0.0,0.0,0.01
8673,Guilty Gear Xrd: Sign,0.1,0.0,0.04,0.02
8674,Arcade Zone,0.14,0.0,0.0,0.01
8675,SpongeBob's Boating Bash,0.14,0.01,0.0,0.01
8676,7th Dragon III Code: VFD,0.03,0.0,0.12,0.0
8677,DiRT 3,0.0,0.13,0.0,0.03
8678,Culdcept,0.0,0.0,0.16,0.0
8679,Birds of Steel,0.11,0.04,0.0,0.01
8680,Rudolph the Red-Nosed Reindeer,0.15,0.0,0.0,0.01
8681,WWE '13,0.12,0.02,0.0,0.01
8682,MX 2002 Featuring Ricky Carmichael,0.11,0.04,0.0,0.0
8683,Halo Triple Pack,0.12,0.03,0.0,0.01
8684,Street Racer,0.09,0.06,0.0,0.01
8685,Bomberman,0.1,0.02,0.03,0.01
8686,NBA 2K3,0.12,0.03,0.0,0.0
8687,Arcana Heart,0.06,0.05,0.04,0.02
8688,NHL 2005,0.12,0.03,0.0,0.01
8689,World Soccer Winning Eleven 2010: Aoki Samurai no Chousen,0.0,0.0,0.16,0.0
8690,Infected,0.14,0.0,0.0,0.01
8691,Battlestar Galactica,0.08,0.06,0.0,0.02
8692,The Walking Dead: Season One,0.08,0.06,0.0,0.01
8693,Kingdom Hearts: Birth by Sleep - Final Mix,0.0,0.0,0.16,0.0
8694,Bust-A-Move Bash!,0.13,0.01,0.0,0.01
8695,Block Party,0.14,0.0,0.0,0.01
8696,Toriko: Gourmet Monsters!,0.0,0.0,0.16,0.0
8697,The Incredible Hulk: The Pantheon Saga,0.09,0.06,0.0,0.01
8698,Darksiders II,0.03,0.1,0.0,0.03
8699,Megamind: Ultimate Showdown,0.07,0.06,0.0,0.02
8700,The Idolm@ster 2,0.0,0.0,0.16,0.0
8701,Space Camp,0.14,0.0,0.0,0.01
8702,Imagine: Music Fest,0.15,0.0,0.0,0.01
8703,AC/DC LIVE: Rock Band Track Pack,0.08,0.06,0.0,0.02
8704,Senran Kagura: Sh?jo-tachi no Shinei,0.0,0.0,0.16,0.0
8705,Ultimate Spider-Man,0.14,0.0,0.0,0.01
8706,Fist of the North Star: Ken's Rage,0.07,0.02,0.06,0.01
8707,Jurassic Park: The Game,0.15,0.0,0.0,0.01
8708,He-Man: Power of Grayskull,0.11,0.04,0.0,0.0
8709,WordJong,0.13,0.01,0.0,0.01
8710,Putty Squad,0.06,0.07,0.0,0.02
8711,Polaris SnoCross,0.09,0.06,0.0,0.01
8712,Wing Commander III: Heart of the Tiger,0.09,0.06,0.0,0.01
8713,Top Spin 4,0.05,0.09,0.0,0.02
8714,Prince of Persia: The Forgotten Sands,0.14,0.01,0.0,0.01
8715,Mat Hoffman's Pro BMX 2,0.11,0.04,0.0,0.0
8716,Muppet RaceMania,0.09,0.06,0.0,0.01
8717,Namco Museum Vol.5,0.02,0.01,0.12,0.01
8718,Courier Crisis,0.09,0.06,0.0,0.01
8719,Bleach: Dark Souls,0.12,0.02,0.0,0.01
8720,The Oregon Trail,0.15,0.0,0.0,0.01
8721,Digimon Battle Spirit 2,0.11,0.04,0.0,0.0
8722,Winning Post 3,0.0,0.0,0.14,0.01
8723,FIFA 06: Road to FIFA World Cup,0.11,0.02,0.01,0.01
8724,Driven,0.08,0.06,0.0,0.02
8725,F.E.A.R. 3,0.04,0.08,0.0,0.03
8726,de Blob 2,0.1,0.04,0.0,0.01
8727,"Warhammer 40,000: Fire Warrior",0.08,0.06,0.0,0.02
8728,Hot Wheels: Battle Force 5,0.13,0.02,0.0,0.01
8729,James Noir's Hollywood Crimes,0.07,0.07,0.0,0.02
8730,Deadly Premonition,0.08,0.05,0.0,0.02
8731,Bomberman,0.14,0.0,0.0,0.01
8732,MTV Music Generator 2,0.08,0.06,0.0,0.02
8733,The Quest Trio,0.14,0.01,0.0,0.01
8734,Chaotic: Shadow Warriors,0.14,0.0,0.0,0.01
8735,Space Invaders Extreme,0.12,0.01,0.01,0.01
8736,Burnout 2: Point of Impact,0.12,0.03,0.0,0.0
8737,Paris-Dakar Rally,0.08,0.06,0.0,0.02
8738,All-Pro Football 2K8,0.14,0.0,0.0,0.01
8739,Dragon Ball Z: Harukanaru Densetsu (JP sales),0.0,0.0,0.15,0.0
8740,Atelier Iris: Eternal Mana,0.08,0.06,0.0,0.02
8741,Blinx 2: Masters of Time & Space,0.12,0.03,0.0,0.01
8742,Stormrise,0.11,0.03,0.0,0.01
8743,NHL 2K10,0.13,0.01,0.0,0.01
8744,FIFA Street 2,0.07,0.06,0.0,0.03
8745,Tak: The Great Juju Challenge,0.12,0.03,0.0,0.0
8746,Deponia,0.0,0.13,0.0,0.03
8747,Harvest Moon: The Lost Valley,0.12,0.02,0.0,0.01
8748,Knockout Kings 2003,0.12,0.03,0.0,0.0
8749,NCAA Football 2004,0.12,0.03,0.0,0.0
8750,XGIII: Extreme G Racing,0.12,0.03,0.0,0.0
8751,NHL 17,0.13,0.01,0.0,0.02
8752,Jewel Quest Solitaire,0.0,0.14,0.0,0.02
8753,Metal Gear Solid V: Ground Zeroes,0.07,0.06,0.01,0.01
8754,Digimon World 4,0.08,0.06,0.0,0.02
8755,Cars: Race-O-Rama,0.14,0.01,0.0,0.01
8756,Disney's Story Studio: Disney's Mulan,0.09,0.06,0.0,0.01
8757,Klax,0.14,0.01,0.0,0.0
8758,Pressure Cooker,0.14,0.01,0.0,0.0
8759,Saturn Bomberman,0.0,0.0,0.15,0.0
8760,Home Run,0.14,0.01,0.0,0.0
8761,Jikkyou Powerful Pro Yakyuu Portable,0.0,0.0,0.15,0.0
8762,The Adventures of Tintin: The Game,0.05,0.09,0.0,0.02
8763,American Chopper,0.11,0.03,0.0,0.01
8764,Sonny with a Chance,0.12,0.02,0.0,0.01
8765,Murdered: Soul Suspect,0.05,0.06,0.02,0.02
8766,Farm Frenzy: Animal Country,0.13,0.01,0.0,0.01
8767,Kingdom Under Fire: Heroes,0.11,0.03,0.0,0.01
8768,Wolfenstein: The Old Blood,0.07,0.07,0.0,0.01
8769,The Terminator: Dawn of Fate,0.11,0.03,0.0,0.01
8770,Cartoon Network Collection: Game Boy Advance Video Special Edition,0.11,0.04,0.0,0.0
8771,Naruto Shippuden: Legends: Akatsuki Rising,0.14,0.0,0.0,0.01
8772,Scooby-Doo! Unmasked,0.12,0.03,0.0,0.0
8773,Streak: Hoverboard Racing,0.09,0.06,0.0,0.01
8774,Samurai Warriors: Katana,0.11,0.0,0.04,0.01
8775,Project Sylpheed: Arc of Deception,0.12,0.01,0.02,0.01
8776,Enthusia Professional Racing,0.07,0.06,0.0,0.02
8777,NCAA GameBreaker 2001,0.07,0.06,0.0,0.02
8778,Get On Da Mic,0.07,0.06,0.0,0.02
8779,Heroes of Mana,0.08,0.01,0.05,0.01
8780,Jurassic: The Hunted,0.14,0.0,0.0,0.01
8781,Army Men: Sarge's War,0.12,0.03,0.0,0.0
8782,Horse Life Adventures,0.13,0.01,0.0,0.01
8783,Amagami,0.0,0.0,0.15,0.0
8784,Ice Age 2: The Meltdown,0.13,0.01,0.0,0.01
8785,Jikkyou Powerful Pro Yakyuu 2009,0.0,0.0,0.15,0.0
8786,Blazing Angels 2: Secret Missions of WWII,0.1,0.03,0.0,0.02
8787,Bigfoot: Collision Course,0.14,0.0,0.0,0.01
8788,Marvel Super Hero Squad: The Infinity Gauntlet,0.12,0.02,0.0,0.01
8789,Kidou Senkan Nadesico,0.0,0.0,0.15,0.0
8790,Tears to Tiara II: Heir of the Overlord,0.07,0.02,0.06,0.01
8791,Frogger's Adventures: The Rescue,0.12,0.03,0.0,0.0
8792,The Incredibles: Rise of the Underminer,0.13,0.01,0.0,0.01
8793,Darksiders,0.07,0.06,0.0,0.02
8794,The Secret Saturdays: Beasts of the 5th Sun,0.05,0.02,0.0,0.08
8795,Countdown: The Game,0.0,0.14,0.0,0.01
8796,Active Life Explorer,0.14,0.0,0.0,0.01
8797,MLB Power Pros 2008,0.05,0.04,0.05,0.01
8798,The Fairly Odd Parents: Clash with the Anti-World,0.11,0.04,0.0,0.0
8799,Theatrhythm Dragon Quest,0.0,0.0,0.15,0.0
8800,Major League Baseball 2K10,0.14,0.0,0.0,0.01
8801,Naruto: Powerful Shippuden,0.08,0.02,0.04,0.01
8802,Disney's The Lion King: Simba's Mighty Adventure,0.08,0.06,0.0,0.01
8803,Family Party: Fitness Fun,0.14,0.0,0.0,0.01
8804,Thor: God of Thunder,0.07,0.06,0.0,0.02
8805,Fantastic Four: Rise of the Silver Surfer,0.12,0.02,0.0,0.02
8806,Metal Slug Anthology,0.12,0.01,0.0,0.01
8807,GoldenEye 007 (2010),0.11,0.03,0.0,0.01
8808,Jikkyou Powerful Pro Yakyuu 2012,0.0,0.0,0.15,0.0
8809,All Japan Pro Wrestling featuring Virtua,0.0,0.0,0.15,0.0
8810,Rudra no Hihou,0.0,0.0,0.15,0.0
8811,Gundam Breaker 2,0.0,0.0,0.15,0.0
8812,Prince of Persia: The Sands of Time,0.11,0.04,0.0,0.0
8813,Cake Mania: In The Mix!,0.14,0.0,0.0,0.01
8814,Zoids: Battle Legends,0.12,0.03,0.0,0.0
8815,World Series Baseball 2K3,0.11,0.03,0.0,0.01
8816,Serious Sam,0.11,0.03,0.0,0.01
8817,Kowloon's Gate,0.0,0.0,0.14,0.01
8818,Killer7,0.12,0.03,0.0,0.0
8819,Kingdom of Paradise,0.14,0.0,0.0,0.01
8820,Hidden Mysteries: Salem Secrets - Witch Trials of 1692,0.09,0.04,0.0,0.01
8821,NBA Street Homecourt,0.12,0.02,0.0,0.02
8822,The Sims Medieval: Pirates and Nobles,0.05,0.08,0.0,0.02
8823,The Cursed Crusade,0.08,0.05,0.0,0.01
8824,Super Monkey Ball Adventure,0.12,0.03,0.0,0.0
8825,Kids Learn Math: A+ Edition,0.14,0.0,0.0,0.01
8826,FIFA Soccer 2002,0.08,0.06,0.0,0.01
8827,Build-A-Bear Workshop: Welcome to Hugsville,0.14,0.0,0.0,0.01
8828,Street Fighter Anniversary Collection,0.11,0.03,0.0,0.01
8829,Final Fantasy XI: Vana'diel Collection 2008,0.13,0.0,0.01,0.01
8830,Suzumiya Haruhi no Yakusoku,0.0,0.0,0.15,0.0
8831,Shadow Ops: Red Mercury,0.11,0.03,0.0,0.01
8832,Indigo Prophecy,0.07,0.06,0.0,0.02
8833,Mind Zero,0.08,0.0,0.04,0.02
8834,World League Soccer,0.0,0.0,0.15,0.0
8835,NBA ShootOut 2001,0.07,0.06,0.0,0.02
8836,Earth Defense Force 2025,0.06,0.04,0.05,0.01
8837,Spider-Man: Friend or Foe,0.13,0.01,0.0,0.01
8838,Ultimate Board Game Collection,0.14,0.0,0.0,0.01
8839,Syndicate,0.07,0.06,0.0,0.02
8840,Samurai Shodown Anthology,0.07,0.06,0.0,0.02
8841,NBA 09: The Inside,0.14,0.0,0.0,0.01
8842,Musashi: Samurai Legend,0.07,0.06,0.0,0.02
8843,Saint Seiya: Soldiers' Soul,0.0,0.09,0.04,0.02
8844,Terraria,0.0,0.13,0.0,0.02
8845,Castlevania: Lords of Shadow - Mirror of Fate,0.04,0.07,0.03,0.01
8846,3rd Super Robot Wars Z: Tengoku-Hen,0.0,0.0,0.15,0.0
8847,Fantasia: Music Evolved,0.11,0.03,0.0,0.01
8848,Pokémon: Johto Photo Finish: Game Boy Advance Video,0.11,0.04,0.0,0.0
8849,F1 2001,0.07,0.06,0.0,0.02
8850,The Legend of Heroes: Trails of Cold Steel II,0.02,0.0,0.13,0.01
8851,Top Gun: Combat Zones,0.12,0.03,0.0,0.0
8852,J-League Victory Goal,0.0,0.0,0.15,0.0
8853,Bakugan Battle Brawlers: Defenders of the Core,0.09,0.04,0.0,0.03
8854,Oreshika: Tainted Bloodlines,0.0,0.0,0.15,0.0
8855,White Knight Chronicles: Origins,0.0,0.04,0.09,0.02
8856,Return to PopoloCrois: A Story of Seasons Fairytale,0.04,0.0,0.1,0.01
8857,Spongebob Squarepants / Fairly Odd Parents Double Pack,0.11,0.04,0.0,0.0
8858,History Civil War: Secret Missions,0.07,0.06,0.0,0.02
8859,NHL 09,0.07,0.06,0.0,0.02
8860,Mirror's Edge Catalyst,0.08,0.05,0.0,0.02
8861,Derby Stallion 64,0.0,0.0,0.15,0.0
8862,Doraemon 3: Nobi Dai no Machi SOS!,0.0,0.0,0.09,0.06
8863,Space Station Silicon Valley,0.12,0.03,0.0,0.0
8864,Dark Rift,0.12,0.03,0.0,0.0
8865,Tokyo Xanadu,0.0,0.0,0.15,0.0
8866,All-Star Baseball 2003,0.12,0.03,0.0,0.0
8867,Burger Island,0.14,0.0,0.0,0.01
8868,Petz: Dogz Talent Show,0.14,0.0,0.0,0.01
8869,T'ai Fu: Wrath of the Tiger,0.08,0.06,0.0,0.01
8870,Rocky,0.11,0.03,0.0,0.01
8871,Ford Racing 2,0.11,0.03,0.0,0.01
8872,Odin Sphere: Leifthrasir,0.02,0.03,0.08,0.02
8873,Sam & Max: Season One,0.13,0.01,0.0,0.01
8874,Virtua Tennis 4,0.05,0.08,0.0,0.02
8875,Tetris Attack,0.0,0.0,0.15,0.0
8876,Candace Kane's Candy Factory,0.14,0.0,0.0,0.01
8877,BloodRayne 2,0.11,0.03,0.0,0.01
8878,Hot Wheels: Beat That!,0.13,0.0,0.0,0.01
8879,Soldier of Fortune: Payback,0.12,0.02,0.0,0.01
8880,Jaws Unleashed,0.11,0.03,0.0,0.01
8881,Pro Yaky? Spirits 6,0.0,0.0,0.15,0.0
8882,Star Trek: Voyager Elite Force,0.07,0.06,0.0,0.02
8883,X-Men: The Official Game,0.12,0.03,0.0,0.0
8884,Brain Boost: Gamma Wave,0.14,0.0,0.0,0.01
8885,Scarface: The World is Yours,0.12,0.01,0.0,0.01
8886,Rock Band: Metal Track Pack,0.14,0.0,0.0,0.01
8887,Chessmaster II,0.08,0.06,0.0,0.01
8888,All-Star Baseball 2003,0.11,0.04,0.0,0.0
8889,Scooby-Doo! Mystery Mayhem,0.11,0.03,0.0,0.01
8890,Winning Post 4,0.0,0.0,0.14,0.01
8891,Major League Baseball 2K13,0.14,0.0,0.0,0.01
8892,DreamWorks Super Star Kartz,0.1,0.04,0.0,0.01
8893,Pro Baseball Spirits 2015,0.0,0.0,0.15,0.0
